Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-04-28,90.0,90.0,90.0,90.0,1600,0.0,0.0,0.0,0.0
2015-04-29,90.5,90.5,90.5,90.5,1000,0.005555555555555556,0.005555555555555556,0.005540180375615351,0.005555555555555556
2015-04-30,90.0,90.0,90.0,90.0,1500,-0.0055248618784530384,-0.0055248618784530384,-0.005540180375615356,-0.0055248618784530384
2015-05-04,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-05-06,90.0,90.0,90.0,90.0,2900,0.0,0.0,0.0,0.0
2015-05-07,90.0,90.0,90.0,90.0,2000,0.0,0.0,0.0,0.0
2015-05-08,90.0,90.0,90.0,90.0,2000,0.0,0.0,0.0,0.0
2015-05-11,89.75,89.75,89.5,89.5,2300,-0.005555555555555556,-0.005555555555555556,-0.00557104504945536,-0.002777777777777778
2015-05-12,99.5,99.5,89.75,89.75,1400,0.002793296089385475,0.002793296089385475,0.0027894020875785922,0.11173184357541899
2015-05-13,89.5,90.5,89.5,90.5,6100,0.008356545961002786,0.008356545961002786,0.008321823337492278,0.008356545961002786
2015-05-14,90.0,90.0,86.75,86.75,10000,-0.04143646408839779,-0.04143646408839779,-0.04231943187891181,-0.0055248618784530384
2015-05-15,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-05-18,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-05-19,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-05-20,86.75,86.75,86.75,86.75,100,0.0,0.0,0.0,0.0
2015-05-21,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-05-22,87.0,87.0,87.0,87.0,100,0.002881844380403458,0.002881844380403458,0.0028776998276151956,0.002881844380403458
2015-05-25,87.0,87.0,87.0,87.0,0,0.0,0.0,0.0,0.0
2015-05-26,88.0,88.5,88.0,88.5,400,0.017241379310344827,0.017241379310344827,0.01709443335930004,0.017241379310344827
2015-05-27,89.0,89.0,89.0,89.0,200,0.005649717514124294,0.005649717514124294,0.005633817718256064,0.005649717514124294
2015-05-28,87.25,87.25,87.0,87.0,300,-0.02247191011235955,-0.02247191011235955,-0.022728251077556175,-0.019662921348314606
2015-05-29,86.75,87.0,86.0,87.0,2000,0.0,0.0,0.0,0.0
2015-06-02,85.5,85.5,85.5,85.5,500,-0.017241379310344827,-0.017241379310344827,-0.01739174271186922,-0.017241379310344827
2015-06-03,85.25,89.0,85.0,86.75,2300,0.014619883040935672,0.014619883040935672,0.014514042884254012,0.04093567251461988
2015-06-04,87.0,87.0,87.0,87.0,2000,0.002881844380403458,0.002881844380403458,0.0028776998276151956,0.002881844380403458
2015-06-05,85.5,85.5,85.5,85.5,600,-0.017241379310344827,-0.017241379310344827,-0.01739174271186922,-0.017241379310344827
2015-06-08,85.25,85.5,85.25,85.5,1400,0.0,0.0,0.0,0.0
2015-06-09,85.5,87.5,85.5,85.5,400,0.0,0.0,0.0,0.023391812865497075
2015-06-10,85.25,85.25,85.25,85.25,100,-0.0029239766081871343,-0.0029239766081871343,-0.002928259779088334,-0.0029239766081871343
2015-06-11,85.25,85.25,85.25,85.25,400,0.0,0.0,0.0,0.0
2015-06-12,85.5,85.5,84.5,84.5,2000,-0.008797653958944282,-0.008797653958944282,-0.008836581800498,0.002932551319648094
2015-06-15,84.5,84.5,84.5,84.5,600,0.0,0.0,0.0,0.0
2015-06-16,87.0,87.0,87.0,87.0,100,0.029585798816568046,0.029585798816568046,0.029156584291455487,0.029585798816568046
2015-06-17,86.5,86.5,85.0,85.0,700,-0.022988505747126436,-0.022988505747126436,-0.023256862164267235,-0.005747126436781609
2015-06-18,88.0,90.0,84.75,90.0,14500,0.058823529411764705,0.058823529411764705,0.05715841383994862,0.058823529411764705
2015-06-19,85.25,85.25,85.0,85.0,1500,-0.05555555555555555,-0.05555555555555555,-0.05715841383994864,-0.05277777777777778
2015-06-22,85.75,85.75,85.5,85.5,1200,0.0058823529411764705,0.0058823529411764705,0.005865119452398058,0.008823529411764706
2015-06-23,85.5,85.5,85.5,85.5,0,0.0,0.0,0.0,0.0
2015-06-24,85.5,85.5,85.5,85.5,0,0.0,0.0,0.0,0.0
2015-06-25,88.0,88.0,87.75,87.75,5000,0.02631578947368421,0.02631578947368421,0.025975486403260736,0.029239766081871343
2015-06-26,87.75,87.75,87.75,87.75,0,0.0,0.0,0.0,0.0
2015-06-29,87.75,87.75,87.75,87.75,0,0.0,0.0,0.0,0.0
2015-06-30,87.75,88.0,87.75,88.0,1000,0.002849002849002849,0.002849002849002849,0.0028449521322313448,0.002849002849002849
2015-07-02,88.0,88.0,88.0,88.0,0,0.0,0.0,0.0,0.0
2015-07-03,85.25,85.25,85.25,85.25,100,-0.03125,-0.03125,-0.0317486983145803,-0.03125
2015-07-06,89.0,98.5,89.0,94.25,10900,0.10557184750733138,0.10557184750733138,0.10036271016449388,0.15542521994134897
2015-07-07,94.25,94.25,89.0,89.0,1200,-0.05570291777188329,-0.05570291777188329,-0.05731445659598031,0.0
2015-07-08,89.0,89.0,89.0,89.0,0,0.0,0.0,0.0,0.0
2015-07-09,86.0,86.0,86.0,86.0,100,-0.033707865168539325,-0.033707865168539325,-0.034289073478632075,-0.033707865168539325
2015-07-10,86.0,86.0,86.0,86.0,0,0.0,0.0,0.0,0.0
2015-07-13,86.0,86.0,86.0,86.0,0,0.0,0.0,0.0,0.0
2015-07-14,86.0,86.0,86.0,86.0,0,0.0,0.0,0.0,0.0
2015-07-15,88.0,88.0,88.0,88.0,100,0.023255813953488372,0.023255813953488372,0.02298951822469878,0.023255813953488372
2015-07-16,88.0,88.0,88.0,88.0,0,0.0,0.0,0.0,0.0
2015-07-17,88.0,88.0,88.0,88.0,0,0.0,0.0,0.0,0.0
2015-07-20,88.0,88.0,87.75,87.75,500,-0.002840909090909091,-0.002840909090909091,-0.0028449521322312507,0.0
2015-07-21,86.25,86.75,86.25,86.75,3500,-0.011396011396011397,-0.011396011396011397,-0.011461443519006652,-0.011396011396011397
2015-07-22,87.25,87.25,87.25,87.25,300,0.005763688760806916,0.005763688760806916,0.005747142255568071,0.005763688760806916
2015-07-23,87.25,87.25,87.25,87.25,0,0.0,0.0,0.0,0.0
2015-07-24,87.25,87.25,87.25,87.25,0,0.0,0.0,0.0,0.0
2015-07-27,86.75,86.75,86.75,86.75,400,-0.0057306590257879654,-0.0057306590257879654,-0.005747142255567959,-0.0057306590257879654
2015-07-28,86.75,86.75,86.75,86.75,1200,0.0,0.0,0.0,0.0
2015-07-29,90.0,90.0,90.0,90.0,1000,0.037463976945244955,0.037463976945244955,0.03677925150329649,0.037463976945244955
2015-07-31,89.75,90.0,89.75,90.0,700,0.0,0.0,0.0,0.0
