Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-01-07,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-08,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-09,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-12,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-13,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-14,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-15,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-16,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-19,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-20,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-21,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-22,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-23,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-26,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-27,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-28,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-29,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-01-30,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-02,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-03,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-04,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-05,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-06,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
2015-02-09,5.975000381469726,5.975000381469726,5.975000381469726,5.975000381469727,0.0,0.0,0.0,0.0,-1.4864909840920408e-16
