sector,industry,symbol,ticker,bb_name
Basic Materials,Agricultural Inputs,NFC.BK,NFC.BK,NFC_TB
Financial Services,Insurance—Property & Casualty,NKI.BK,NKI.BK,NKI_TB
Communication Services,Publishing,NMG.BK,NMG.BK,NMG_TB
Industrials,Airlines,NOK.BK,NOK.BK,NOK_TB
Financial Services,Insurance—Property & Casualty,NSI.BK,NSI.BK,NSI_TB
Consumer Cyclical,"Furnishings, Fixtures & Appliances",OGC.BK,OGC.BK,OGC_TB
Consumer Cyclical,Restaurants,OISHI.BK,OISHI.BK,OISHI_TB
Consumer Cyclical,Footwear & Accessories,PAF.BK,PAF.BK,PAF_TB
Basic Materials,Steel,PAP.BK,PAP.BK,PAP_TB
Consumer Cyclical,Auto Parts,PCSGH.BK,PCSGH.BK,PCSGH_TB
Utilities,Utilities—Renewable,PDI.BK,PDI.BK,PDI_TB
Industrials,Rental & Leasing Services,PL.BK,PL.BK,PL_TB
Industrials,Engineering & Construction,PLE.BK,PLE.BK,PLE_TB
Industrials,Marine Shipping,PORT.BK,PORT.BK,PORT_TB
Communication Services,Publishing,POST.BK,POST.BK,POST_TB
Real Estate,Real Estate—Development,PRECHA.BK,PRECHA.BK,PRECHA_TB
Real Estate,Real Estate—Development,PSH.BK,PSH.BK,PSH_TB
Basic Materials,Specialty Chemicals,PTL.BK,PTL.BK,PTL_TB
Real Estate,Real Estate—Development,RICHY.BK,RICHY.BK,RICHY_TB
Consumer Cyclical,"Furnishings, Fixtures & Appliances",ROCK.BK,ROCK.BK,ROCK_TB
Consumer Cyclical,Lodging,ROH.BK,ROH.BK,ROH_TB
Energy,Oil & Gas Refining & Marketing,RPC.BK,RPC.BK,RPC_TB
Basic Materials,Building Materials,SCCC.BK,SCCC.BK,SCCC_TB
Utilities,Utilities—Regulated Gas,SCN.BK,SCN.BK,SCN_TB
Consumer Defensive,Packaged Foods,SFP.BK,SFP.BK,SFP_TB
Consumer Cyclical,Lodging,SHANG.BK,SHANG.BK,SHANG_TB
Consumer Cyclical,"Furnishings, Fixtures & Appliances",SIAM.BK,SIAM.BK,SIAM_TB
Consumer Defensive,Education & Training Services,SISB.BK,SISB.BK,SISB_TB
Energy,Oil & Gas Refining & Marketing,SKE.BK,SKE.BK,SKE_TB
Industrials,Specialty Business Services,SLP.BK,SLP.BK,SLP_TB
Industrials,Specialty Industrial Machinery,SMIT.BK,SMIT.BK,SMIT_TB
Financial Services,Insurance—Property & Casualty,SMK.BK,SMK.BK,SMK_TB
