Date,Open,High,Low,Close,Volume
2020-10-16,36.0,43.79999923706055,33.68000030517578,33.68000030517578,6544200
2020-10-19,34.099998474121094,38.5,33.25,35.06999969482422,1020300
2020-10-20,35.279998779296875,36.70000076293945,32.58000183105469,33.849998474121094,612900
2020-10-21,33.79999923706055,35.40700149536133,33.79999923706055,34.54999923706055,369100
2020-10-22,34.79999923706055,35.9900016784668,34.0,35.70000076293945,241300
2020-10-23,36.04999923706055,38.25,35.9900016784668,38.25,296400
2020-10-26,37.11000061035156,38.56999969482422,35.36000061035156,36.0099983215332,263600
2020-10-27,36.36000061035156,37.58100128173828,35.97999954223633,36.58000183105469,176100
2020-10-28,35.81999969482422,38.25,35.77799987792969,36.959999084472656,230300
2020-10-29,36.91999816894531,37.5,33.779998779296875,35.06999969482422,406400
2020-10-30,34.599998474121094,35.380001068115234,33.869998931884766,34.650001525878906,114700
2020-11-02,34.70000076293945,35.29999923706055,33.0,33.5,349600
2020-11-03,33.599998474121094,34.90999984741211,33.46500015258789,34.779998779296875,168600
2020-11-04,34.5099983215332,35.4900016784668,33.900001525878906,35.0,264100
2020-11-05,35.0,35.4640007019043,33.880001068115234,35.0,235900
2020-11-06,34.61000061035156,35.189998626708984,33.86000061035156,34.75,257600
2020-11-09,35.0,35.869998931884766,33.689998626708984,34.29999923706055,306400
2020-11-10,34.790000915527344,34.9900016784668,33.59000015258789,33.900001525878906,335700
2020-11-11,34.09000015258789,34.849998474121094,33.33000183105469,34.52000045776367,269000
2020-11-12,34.61000061035156,36.4900016784668,34.29999923706055,35.119998931884766,301800
2020-11-13,35.0,35.130001068115234,34.0,34.400001525878906,98200
2020-11-16,34.650001525878906,35.09000015258789,33.22999954223633,34.83000183105469,268600
2020-11-17,34.79999923706055,35.0,33.40999984741211,33.4900016784668,252700
2020-11-18,33.619998931884766,35.68000030517578,33.619998931884766,35.59000015258789,295100
2020-11-19,35.65999984741211,39.65999984741211,35.619998931884766,36.0,614000
2020-11-20,34.13999938964844,36.11000061035156,33.89699935913086,35.7599983215332,567000
2020-11-23,35.849998474121094,36.959999084472656,35.0,36.54999923706055,328200
2020-11-24,35.59299850463867,42.43000030517578,35.59299850463867,41.849998474121094,436900
2020-11-25,41.11000061035156,45.97999954223633,40.2400016784668,45.95000076293945,295600
2020-11-27,46.36000061035156,49.9900016784668,46.0,49.75,131500
2020-11-30,49.27000045776367,53.290000915527344,44.0099983215332,50.11000061035156,654500
2020-12-01,50.369998931884766,54.970001220703125,49.1150016784668,51.79999923706055,390200
2020-12-02,51.060001373291016,51.060001373291016,46.529998779296875,47.36000061035156,253700
2020-12-03,47.0099983215332,48.0,44.939998626708984,46.58000183105469,231800
2020-12-04,46.939998626708984,50.40999984741211,45.619998931884766,49.45000076293945,358800
2020-12-07,48.75,50.810001373291016,47.72999954223633,47.959999084472656,273800
2020-12-08,47.7400016784668,49.9900016784668,47.43000030517578,48.650001525878906,240600
2020-12-09,48.4900016784668,49.900001525878906,46.7599983215332,46.88999938964844,256000
2020-12-10,46.5,49.880001068115234,46.0099983215332,47.9900016784668,136200
2020-12-11,47.91999816894531,58.48400115966797,47.59000015258789,56.97999954223633,660900
2020-12-14,57.470001220703125,59.79999923706055,47.0,47.470001220703125,639500
2020-12-15,47.849998474121094,49.79999923706055,45.59000015258789,48.349998474121094,422900
2020-12-16,48.349998474121094,52.970001220703125,47.79499816894531,50.70000076293945,544500
2020-12-17,51.150001525878906,53.5,49.92499923706055,50.68000030517578,653600
2020-12-18,50.0,51.470001220703125,47.02000045776367,47.540000915527344,2054200
2020-12-21,47.0,49.36000061035156,46.36000061035156,47.5,387900
2020-12-22,47.4900016784668,58.52000045776367,47.0,57.939998626708984,728100
2020-12-23,57.470001220703125,58.09000015258789,54.564998626708984,55.29999923706055,291000
2020-12-24,55.18000030517578,62.349998474121094,53.15999984741211,53.75,291900
2020-12-28,54.310001373291016,55.0,50.52000045776367,51.31999969482422,190600
2020-12-29,51.130001068115234,51.89500045776367,48.380001068115234,50.0,116900
2020-12-30,50.16999816894531,50.810001373291016,46.900001525878906,47.90999984741211,249600
